,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume,sp500_close,btc_return,btc_return_30d,btc_volatility_30d,btc_drawdown,btc_crash_flag,btc_boom_flag,btc_convexity,btc_liquidity_cost,eth_return,eth_return_30d,eth_volatility_30d,eth_drawdown,eth_crash_flag,eth_boom_flag,eth_convexity,eth_liquidity_cost,nasdaq_return,nasdaq_return_30d,nasdaq_volatility_30d,nasdaq_drawdown,nasdaq_crash_flag,nasdaq_boom_flag,nasdaq_convexity,nasdaq_liquidity_cost,corr_btc_nasdaq_30d,corr_eth_nasdaq_30d,risk_ratio_btc_vs_nasdaq
2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.427298,,,,,,12949.2,13104.8,12878.5,13091.0,0.0,3968.94,-0.05703249762457163,0.17923326891278268,0.044648826660156994,-0.09124590465609575,1,0,0.10850478012847721,1801979.8107864086,,,,,0,0,,,0.011536351483962592,-0.053188103917144014,0.01663272642832976,-0.05680360822513939,0,0,0.017286685509128354,0.0,0.37011868714007773,,2.684394528377708
2021-03-16,55605.2,56938.29,53271.34,56900.75,77986.694355,,,,,,13089.8,13302.8,13063.7,13169.7,0.0,3962.71,0.023299079942163736,0.1713326192895972,0.04453998539995896,-0.07007277034090943,0,0,0.0644446690069991,3347199.163082742,,,,,0,0,,,0.0060117638071959245,-0.047496094428050584,0.016689859791565308,-0.05113333429398958,0,0,0.01815531105492141,0.0,0.37396988964469674,,2.668683815764008
2021-03-17,56900.74,58974.73,54123.69,58912.97,70421.620841,,,,,,13165.5,13286.8,12950.9,13187.1,0.0,3974.12,0.03536368149804714,0.22963092060086288,0.0446826419540582,-0.037187119974884095,0,0,0.08234247908397761,1991353.7828732848,,,,,0,0,,,0.0013212146062553387,-0.0498796777958701,0.016668541174686118,-0.04987967779587009,0,0,0.02547186265365392,0.0,0.3821446786305362,,2.68065541424596
2021-03-18,58912.97,60129.97,57023.0,57648.16,66580.406675,,,,,,13188.8,13282.6,12777.9,12806.2,0.0,3915.46,-0.021469126407987926,0.17329762107077773,0.04486620552609701,-0.05785787140338218,0,0,0.05389538885542923,3101214.9445483857,,,,,0,0,,,-0.02888428843339319,-0.06947239923559279,0.01736262693390742,-0.07732322722884268,0,0,0.03941059799159787,0.0,0.40479432918222663,,2.5840663314498036
2021-03-19,57641.0,59468.0,56270.74,58030.01,52392.652961,,,,,,12797.4,12912.3,12696.9,12840.9,0.0,3913.1,0.0066238020432916045,0.11339855881776795,0.043672786148573776,-0.05161730844691285,0,0,0.055096664639554635,7909743.304697434,,,,,0,0,,,0.002709625025378193,-0.06289271457449996,0.017381119750210255,-0.07482311915500671,0,0,0.016774525150106273,0.0,0.4212062486614634,,2.5126552057437737
2021-03-20,58030.01,59880.0,57820.17,58102.28,44476.941776,,,,,,12797.4,12912.3,12696.9,12840.9,0.0,3913.1,0.0012453901007425383,0.12704849027983078,0.043581476004453036,-0.05043620203113696,0,0,0.035451792941688376,35712974.28792703,,,,,0,0,,,0.0,-0.058840343894984604,0.017379341665542045,-0.07482311915500671,0,0,0.016774525150106273,0.0,0.4201495293195309,,2.5076583317467365
2021-03-21,58100.02,58589.1,55450.11,57351.56,48564.470274,,,,,,12797.4,12912.3,12696.9,12840.9,0.0,3913.1,-0.012920663354346829,0.025856974206704075,0.04100345019564913,-0.06270519619816768,0,0,0.05473242576139164,3758664.037247078,,,,,0,0,,,0.0,-0.05412612240989423,0.017372397293827436,-0.07482311915500671,0,0,0.016774525150106273,0.0,0.4578885026082514,,2.3602630022505866
2021-03-22,57351.56,58430.73,53650.0,54083.25,62581.626169,,,,,,12825.6,13173.7,12804.5,13080.1,0.0,3940.59,-0.05698729031956584,-0.03148106263494743,0.042379846167361165,-0.11611908729744318,1,0,0.08839576024000043,1098167.9394893781,,,,,0,0,,,0.01862797778971892,-0.036506404826270544,0.017763998479081614,-0.05758894476706481,0,0,0.0282260838984412,0.0,0.38042990233459295,,2.3857141375082347
2021-03-23,54083.25,55830.9,53000.0,54340.89,59789.365427,,,,,,13080.3,13188.6,12996.2,13048.1,0.0,3910.52,0.004763766970365069,-0.05343592428795907,0.04205625563994141,-0.11190848459977457,0,0,0.05209520859890225,12550832.207079183,,,,,0,0,,,-0.002446464476571264,-0.03886355768026695,0.017764457068129434,-0.05989451993602024,0,0,0.014745441865099105,0.0,0.3815314143889231,,2.367436944696921
2021-03-24,54342.8,57200.0,51700.0,52303.65,83537.465021,,,,,,13063.3,13161.5,12800.3,12813.0,0.0,3889.14,-0.03749000062383956,-0.03298385750393751,0.04126372335949773,-0.14520303606615564,0,0,0.10515518515438214,2228259.3051035115,,,,,0,0,,,-0.0180179489734138,-0.03110916185233359,0.01744253091165113,-0.07683329250543969,0,0,0.0281901194099743,0.0,0.357931610038937,,2.3656945148361217
