,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-16 12:00:00,37680.0,37886.0,36671.2,37461.99,14905.098979,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-16 16:00:00,37463.46,37713.94,36200.0,36376.39,12777.18605,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-16 20:00:00,36376.39,36800.0,35357.8,35994.98,15334.759713,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 00:00:00,35994.98,36744.05,35520.0,36177.0,10523.420907,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 04:00:00,36177.0,36382.38,34518.04,34760.9,14085.48497,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 08:00:00,34760.91,35400.0,33850.0,35267.17,20790.970257,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 12:00:00,35270.0,35973.89,34666.0,35728.47,14071.341158,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 16:00:00,35728.47,36166.47,35514.99,35633.91,9298.406284,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-17 20:00:00,35633.9,36852.5,35506.0,35828.61,11388.103808,,,,,,12863.2,12900.3,12769.6,12774.3,0.0
2021-01-18 00:00:00,35824.99,36208.0,34842.99,35106.25,12865.201223,,,,,,12789.4,12802.8,12740.5,12774.6,0.0
2021-01-18 04:00:00,35108.27,36278.68,34800.0,36104.61,9931.587621,,,,,,12774.6,12804.4,12766.3,12797.9,0.0
2021-01-18 08:00:00,36100.55,36650.0,35771.6,36442.08,11719.16756,,,,,,12798.1,12803.7,12776.1,12799.6,0.0
2021-01-18 12:00:00,36443.91,37469.83,36047.89,36405.98,18106.506954,,,,,,12799.6,12830.3,12794.6,12817.8,0.0
2021-01-18 16:00:00,36405.99,36565.0,35400.0,35956.14,10602.829967,,,,,,12817.6,12828.7,12798.1,12824.6,0.0
2021-01-18 20:00:00,35951.83,36777.77,35755.01,36631.27,7472.825425,,,,,,12817.6,12828.7,12798.1,12824.6,0.0
2021-01-19 00:00:00,36622.46,37280.0,36364.43,36465.3,15332.388515,,,,,,12822.0,12901.2,12822.0,12898.5,0.0
2021-01-19 04:00:00,36468.31,37233.87,36002.01,37168.82,11299.226279,,,,,,12898.5,12961.9,12893.1,12928.2,0.0
2021-01-19 08:00:00,37167.92,37535.27,36750.0,37266.49,15170.795477,,,,,,12928.2,12952.6,12919.0,12939.7,0.0
2021-01-19 12:00:00,37263.73,37449.0,36610.0,37329.4,11966.646727,,,,,,12939.9,12946.5,12903.8,12908.7,0.0
2021-01-19 16:00:00,37329.4,37850.0,36052.04,36279.82,15604.759741,,,,,,12908.4,12969.3,12860.6,12967.1,0.0
2021-01-19 20:00:00,36281.66,36777.88,35844.06,35891.49,10237.49103,,,,,,12967.2,13043.7,12966.4,13043.4,0.0
2021-01-20 00:00:00,35901.94,36415.31,35000.0,35062.49,13775.591884,,,,,,13039.5,13065.8,13031.2,13050.6,0.0
